Nr	Hour	Description	Source	Analist	Type
1	12:29	Each event must have an unique identifier which is an INTEGER that increments automatically.	Henrique Borges	Aurora Matrix	DR
2	12:29	Each event must have an unique name	Henrique Borges	Aurora Matrix	DR
3	12:29	Each event must have a description	Henrique Borges	Aurora Matrix	DR
4	12:29	Each event must have a beginning and ending date	Henrique Borges	Aurora Matrix	DR
5	12:29	Each event must have, optionally, a maximum capacity	Henrique Borges	Aurora Matrix	DR
6	12:30	Each employee must have an unique identifier which is formatted as "XXXXXYYYYY" where XXXXX is a descriptor of rank or function and YYYYY is a number	Henrique Borges	Aurora Matrix	DR
7	12:30	Each employee must have a name,	Henrique Borges	Aurora Matrix	DR
8	12:30	Each employee must have a VAT	Henrique Borges	Aurora Matrix	DR
9	12:30	Each employee must have a birth date	Henrique Borges	Aurora Matrix	DR
10	12:30	Each employee must have a list of emails	Henrique Borges	Aurora Matrix	DR
11	12:30	Each employee must have a list of phone numbers	Henrique Borges	Aurora Matrix	DR
12	12:30	Each employee must have an address	Henrique Borges	Aurora Matrix	DR
13	12:30	An address is a composite of Street name, Locale and Postal Code	Henrique Borges	Aurora Matrix	DR
14	12:31	Each sale must have an unique identifier which is an INTEGER incremented automatically	Henrique Borges	Aurora Matrix	DR
15	12:31	Each sale must have a total sale value which is the result of the computation 	Henrique Borges	Aurora Matrix	DR
16	12:31	Each sale must have the quantity of products	Henrique Borges	Aurora Matrix	DR
17	12:31	Each sale must have the date the sale closed	Henrique Borges	Aurora Matrix	DR
18	12:32	Each participant must have an unique identifier which is a number that is incremented automatically	Henrique Borges	Aurora Matrix	DR
19	12:32	Each participant must have name	Henrique Borges	Aurora Matrix	DR
20	12:32	Each participant must have date of birth	Henrique Borges	Aurora Matrix	DR
21	12:32	Each participant must have a list of phone numbers	Henrique Borges	Aurora Matrix	DR
22	12:32	Each participant must have, optionally, a list of emails	Henrique Borges	Aurora Matrix	DR
23	12:32	Each participant must have, optionally, their VAT	Henrique Borges	Aurora Matrix	DR
24	12:32	Each participant must have optionally, address	Henrique Borges	Aurora Matrix	DR
25	12:33	Each product must have an unique identifier	Henrique Borges	Aurora Matrix	DR
26	12:33	Each product must have an unique name	Henrique Borges	Aurora Matrix	DR
27	12:33	Each product must have a current price	Henrique Borges	Aurora Matrix	DR
28	12:33	Each product must have a stock which is a number that represents the total quantity of a given product in storage	Henrique Borges	Aurora Matrix	DR
29	12:33	Each product must have a description	Henrique Borges	Aurora Matrix	DR
30	12:33	A ticket is a product who's name is the sam as the event's name	Henrique Borges	Aurora Matrix	DR
31	12:34	Each supplier must have an identifier which is an integer 	Henrique Borges	Aurora Matrix	DR
32	12:34	Each supplier must have an unique name	Henrique Borges	Aurora Matrix	DR
33	12:34	Each supplier must have an IBAN	Henrique Borges	Aurora Matrix	DR
34	12:34	Each supplier must have an list of emails	Henrique Borges	Aurora Matrix	DR
35	12:34	Each supplier must have an list of cellphones	Henrique Borges	Aurora Matrix	DR
36	12:34	Each supplier must have an address	Henrique Borges	Aurora Matrix	DR
37	12:35	Henrique Borges is a System Administrator	Henrique Borges	Aurora Matrix	AR
38	12:36	Maria Ivanovna Ivanova is a System Administrator	Henrique Borges	Aurora Matrix	AR
39	12:36	Herr Otto Mustermann is a System Administrator in in the timeframe in which he has access to the database	Henrique Borges	Aurora Matrix	AR
