name                                 ,iban                    ,street                                  ,locale         ,postal
World of Books                     ,ET493958654897440     ,"Paper Valley, nº234                   ",Calecornia,2710-008-ZZZ 
InovaPrint Solucciones Graficas    ,ES6854920492946841    ,"Rua dela dama del dia, n20, Oficina I ",Mirallá,9000-009-AAA 
Lorbeer und Lorbeer Materials Lda  ,GE905440777332294     ,"Teller von Lachen, nº91, Piso 3       ",Inglostadt,4000-003     
Badhiya Kapaas                     ,IND66979302668492     ,"Traayamph Skvaayar, nº124             ",Goa,4485-4432    
AltaPelle Distributore             ,IT40330399569611111   ,"Via Carlos Vallente, nº27             ",Piza,3-55-88895   
Edital Impressao                   ,PT96797397339295      ,"Alameda da Vitoria, n234              ",Guimarães,4800-234     
Diavgés Sýmpan Lda                 ,GR775588994433225566  ,"Leofóros tou Mikrólaméira, n123       ",Tebas,500-692-4    
Kreativnyye Resheniya Importer     ,RU0020105889044430    ,"Arkticheskiy prospekt, n94            ",Ufa,38948-222-01 
Sangbeoggyuoppa Mungujeom          ,SCOR6695593388200060  ,"jong-ijib geoli, n234                 ",Jeju,2750-008     
Páginas Vivas Publicações Inc.     ,BR99900299294958811   ,"Rua Anita Carlota, n111               ",Curitiba,4740-081     
Himno ng Kagalakan Ltda.           ,FP22294939205R8687853 ,"pinggan ng mga bulaklak, n001         ",Manila,747484-444   
